2025-07-21 13:20:24,791 3055876 INFO [PRETRAINED] Using pretrained model path: ppo_pushing_sb3/final_model.zip
2025-07-21 13:20:24,792 3055876 INFO Starting with 7 interventions
2025-07-21 13:20:24,792 3055876 INFO ===final evaluation===
2025-07-21 13:20:36,855 3055876 INFO Final performance
2025-07-21 13:20:36,855 3055876 INFO average reward: 3.394 +/- 0.000
2025-07-21 13:20:36,855 3055876 INFO success rate: 1.000
2025-07-21 13:20:36,855 3055876 INFO average episode length: 501.0
2025-07-21 13:20:36,856 3055876 INFO initial performance: {'avg_reward': 3.393721938342554, 'reward_std': 4.440892098500626e-16, 'avg_length': 501.0, 'success_rate': 1.0, 'total_episodes': 10}
2025-07-21 13:20:36,856 3055876 INFO CURRICULUM STAGE 1/7
2025-07-21 13:20:36,856 3055876 INFO Remaining interventions: ['goal', 'mass', 'friction', 'visual', 'position', 'angle', 'random']
2025-07-21 13:20:36,856 3055876 INFO Randomly selected intervention: random
2025-07-21 13:20:36,856 3055876 INFO === stage 1/7: training on random intervention ===
Logging to random_sequencing_logs/sb3_csv_logs_1_random
IntervenedCausalWorld created with random intervention
Reset #1: random intervention applied (success: True)
Reset #2: random intervention applied (success: True)
Reset #3: random intervention applied (success: True)
------------------------------------
| custom/              |           |
|    value_loss           | 0.0165     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | position   |
|    stage                | 3          |
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 0.2772147  |
| time/                   |            |
|    fps                  | 171        |
|    iterations           | 11         |
|    time_elapsed         | 263        |
|    total_timesteps      | 5197824    |
| train/                  |            |
|    approx_kl            | 0.05874304 |
|    clip_fraction        | 0.57       |
|    clip_range           | 0.2        |
|    entropy_loss         | -26.1      |
|    explained_variance   | 0.751      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.653     |
|    n_updates            | 1695       |
|    policy_gradient_loss | -0.112     |
|    std                  | 4.46       |
|    value_loss           | 0.00961    |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | position    |
|    stage                | 3           |
| rollout/                |             |
|    ep_len_mean          | 451         |
|    ep_rew_mean          | 0.22228895  |
| time/                   |             |
|    fps                  | 169         |
|    iterations           | 12          |
|    time_elapsed         | 289         |
|    total_timesteps      | 5201920     |
| train/                  |             |
|    approx_kl            | 0.085078076 |
|    clip_fraction        | 0.606       |
|    clip_range           | 0.2         |
|    entropy_loss         | -26.3       |
|    explained_variance   | 0.626       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.637      |
|    n_updates            | 1710        |
|    policy_gradient_loss | -0.106      |
|    std                  | 4.53        |
|    value_loss           | 0.0168      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | position   |
|    stage                | 3          |
| rollout/                |            |
|    ep_len_mean          | 462        |
|    ep_rew_mean          | 0.3504746  |
| time/                   |            |
|    fps                  | 168        |
|    iterations           | 13         |
|    time_elapsed         | 315        |
|    total_timesteps      | 5206016    |
| train/                  |            |
|    approx_kl            | 0.07316689 |
|    clip_fraction        | 0.606      |
|    clip_range           | 0.2        |
|    entropy_loss         | -26.4      |
|    explained_variance   | 0.812      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.644     |
|    n_updates            | 1725       |
|    policy_gradient_loss | -0.11      |
|    std                  | 4.62       |
|    value_loss           | 0.0233     |
----------------------------------------
2025-07-21 13:37:07,539 3055876 INFO model saved to random_sequencing_logs/model_stage_3_position
2025-07-21 13:37:07,540 3055876 INFO
Completed stage 3. Intervention 'position' removed from list.
2025-07-21 13:37:07,540 3055876 INFO Remaining interventions: 4
2025-07-21 13:37:07,540 3055876 INFO CURRICULUM STAGE 4/7
2025-07-21 13:37:07,540 3055876 INFO Remaining interventions: ['goal', 'mass', 'friction', 'angle']
2025-07-21 13:37:07,541 3055876 INFO Randomly selected intervention: goal
2025-07-21 13:37:07,541 3055876 INFO === stage 4/7: training on goal intervention ===
Logging to random_sequencing_logs/sb3_csv_logs_4_goal
IntervenedCausalWorld created with goal intervention
Reset #1: goal intervention applied (success: True)
Reset #2: goal intervention applied (success: True)
Reset #3: goal intervention applied (success: True)
-------------------------------------
| custom/              |            |
|    intervention_type | goal       |
|    stage             | 4          |
| rollout/             |            |
|    ep_len_mean       | 453        |
|    ep_rew_mean       | 0.38028264 |
| time/                |            |
|    fps               | 397        |
|    iterations        | 1          |
|    time_elapsed      | 10         |
|    total_timesteps   | 5210112    |
-------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | goal        |
|    stage                | 4           |
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 0.45641765  |
| time/                   |             |
|    fps                  | 224         |
|    iterations           | 2           |
|    time_elapsed         | 36          |
|    total_timesteps      | 5214208     |
| train/                  |             |
|    approx_kl            | 0.068939894 |
|    clip_fraction        | 0.6         |
|    clip_range           | 0.2         |
|    entropy_loss         | -26.9       |
|    explained_variance   | 0.656       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.647      |
|    n_updates            | 1755        |
|    policy_gradient_loss | -0.0985     |
|    std                  | 4.87        |
|    value_loss           | 0.0259      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | goal       |
|    stage                | 4          |
| rollout/                |            |
|    ep_len_mean          | 453        |
|    ep_rew_mean          | 0.25471476 |
| time/                   |            |
|    fps                  | 197        |
|    iterations           | 3          |
|    time_elapsed         | 62         |
|    total_timesteps      | 5218304    |
| train/                  |            |
|    approx_kl            | 0.17941679 |
|    clip_fraction        | 0.634      |
|    clip_range           | 0.2        |
|    entropy_loss         | -27.1      |
|    explained_variance   | 0.68       |
|    learning_rate        | 0.00025    |
|    loss                 | -0.67      |
|    n_updates            | 1770       |
|    policy_gradient_loss | -0.113     |
|    std                  | 5          |
|    value_loss           | 0.0191     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | goal        |
|    stage                | 4           |
| rollout/                |             |
|    ep_len_mean          | 453         |
|    ep_rew_mean          | 0.53225046  |
| time/                   |             |
|    fps                  | 193         |
|    iterations           | 4           |
|    time_elapsed         | 84          |
|    total_timesteps      | 5222400     |
| train/                  |             |
|    approx_kl            | 0.069972605 |
|    clip_fraction        | 0.593       |
|    clip_range           | 0.2         |
|    entropy_loss         | -27.3       |
|    explained_variance   | 0.743       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.674      |
|    n_updates            | 1785        |
|    policy_gradient_loss | -0.109      |
|    std                  | 5.09        |
|    value_loss           | 0.0199      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | goal        |
|    stage                | 4           |
| rollout/                |             |
|    ep_len_mean          | 453         |
|    ep_rew_mean          | 0.5565295   |
| time/                   |             |
|    fps                  | 189         |
|    iterations           | 5           |
|    time_elapsed         | 108         |
|    total_timesteps      | 5226496     |
| train/                  |             |
|    approx_kl            | 0.065887995 |
|    clip_fraction        | 0.588       |
|    clip_range           | 0.2         |
|    entropy_loss         | -27.5       |
|    explained_variance   | 0.656       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.658      |
|    n_updates            | 1800        |
|    policy_gradient_loss | -0.103      |
|    std                  | 5.19        |
|    value_loss           | 0.0261      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | goal       |
|    stage                | 4          |
| rollout/                |            |
|    ep_len_mean          | 448        |
|    ep_rew_mean          | 0.6413617  |
| time/                   |            |
|    fps                  | 183        |
|    iterations           | 6          |
|    time_elapsed         | 134        |
|    total_timesteps      | 5230592    |
| train/                  |            |
|    approx_kl            | 0.06674964 |
|    clip_fraction        | 0.606      |
|    clip_range           | 0.2        |
|    entropy_loss         | -27.7      |
|    explained_variance   | 0.662      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.669     |
|    n_updates            | 1815       |
|    policy_gradient_loss | -0.108     |
|    std                  | 5.32       |
|    value_loss           | 0.0174     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | goal       |
|    stage                | 4          |
| rollout/                |            |
|    ep_len_mean          | 447        |
|    ep_rew_mean          | 0.696764   |
| time/                   |            |
|    fps                  | 178        |
|    iterations           | 7          |
|    time_elapsed         | 160        |
|    total_timesteps      | 5234688    |
| train/                  |            |
|    approx_kl            | 0.07256513 |
|    clip_fraction        | 0.585      |
|    clip_range           | 0.2        |
|    entropy_loss         | -27.9      |
|    explained_variance   | 0.668      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.656     |
|    n_updates            | 1830       |
|    policy_gradient_loss | -0.106     |
|    std                  | 5.4        |
|    value_loss           | 0.0209     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | goal        |
|    stage                | 4           |
| rollout/                |             |
|    ep_len_mean          | 451         |
|    ep_rew_mean          | 0.61336476  |
| time/                   |             |
|    fps                  | 175         |
|    iterations           | 8           |
|    time_elapsed         | 186         |
|    total_timesteps      | 5238784     |
| train/                  |             |
|    approx_kl            | 0.066783525 |
|    clip_fraction        | 0.609       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28         |
|    explained_variance   | 0.697       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.683      |
|    n_updates            | 1845        |
|    policy_gradient_loss | -0.114      |
|    std                  | 5.51        |
|    value_loss           | 0.0153      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | goal        |
|    stage                | 4           |
| rollout/                |             |
|    ep_len_mean          | 451         |
|    ep_rew_mean          | 0.80681     |
| time/                   |             |
|    fps                  | 173         |
|    iterations           | 9           |
|    time_elapsed         | 212         |
|    total_timesteps      | 5242880     |
| train/                  |             |
|    approx_kl            | 0.061269328 |
|    clip_fraction        | 0.603       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.2       |
|    explained_variance   | 0.716       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.683      |
|    n_updates            | 1860        |
|    policy_gradient_loss | -0.111      |
|    std                  | 5.61        |
|    value_loss           | 0.0167      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | goal       |
|    stage                | 4          |
| rollout/                |            |
|    ep_len_mean          | 456        |
|    ep_rew_mean          | 0.8036258  |
| time/                   |            |
|    fps                  | 171        |
|    iterations           | 10         |
|    time_elapsed         | 238        |
|    total_timesteps      | 5246976    |
| train/                  |            |
|    approx_kl            | 0.06875746 |
|    clip_fraction        | 0.586      |
|    clip_range           | 0.2        |
|    entropy_loss         | -28.4      |
|    explained_variance   | 0.656      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.682     |
|    n_updates            | 1875       |
|    policy_gradient_loss | -0.108     |
|    std                  | 5.71       |
|    value_loss           | 0.0227     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | goal       |
|    stage                | 4          |
| rollout/                |            |
|    ep_len_mean          | 456        |
|    ep_rew_mean          | 0.78883356 |
| time/                   |            |
|    fps                  | 170        |
|    iterations           | 11         |
|    time_elapsed         | 264        |
|    total_timesteps      | 5251072    |
| train/                  |            |
|    approx_kl            | 0.0778071  |
|    clip_fraction        | 0.61       |
|    clip_range           | 0.2        |
|    entropy_loss         | -28.4      |
|    explained_variance   | 0.665      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.693     |
|    n_updates            | 1890       |
|    policy_gradient_loss | -0.11      |
|    std                  | 5.74       |
|    value_loss           | 0.0137     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | goal       |
|    stage                | 4          |
| rollout/                |            |
|    ep_len_mean          | 456        |
|    ep_rew_mean          | 0.74594605 |
| time/                   |            |
|    fps                  | 168        |
|    iterations           | 12         |
|    time_elapsed         | 291        |
|    total_timesteps      | 5255168    |
| train/                  |            |
|    approx_kl            | 0.06884143 |
|    clip_fraction        | 0.601      |
|    clip_range           | 0.2        |
|    entropy_loss         | -28.6      |
|    explained_variance   | 0.728      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.68      |
|    n_updates            | 1905       |
|    policy_gradient_loss | -0.102     |
|    std                  | 5.88       |
|    value_loss           | 0.0134     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | goal       |
|    stage                | 4          |
| rollout/                |            |
|    ep_len_mean          | 468        |
|    ep_rew_mean          | 0.7683508  |
| time/                   |            |
|    fps                  | 167        |
|    iterations           | 13         |
|    time_elapsed         | 317        |
|    total_timesteps      | 5259264    |
| train/                  |            |
|    approx_kl            | 0.08343309 |
|    clip_fraction        | 0.617      |
|    clip_range           | 0.2        |
|    entropy_loss         | -28.8      |
|    explained_variance   | 0.643      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.69      |
|    n_updates            | 1920       |
|    policy_gradient_loss | -0.102     |
|    std                  | 6.04       |
|    value_loss           | 0.0241     |
----------------------------------------
2025-07-21 13:42:40,991 3055876 INFO model saved to random_sequencing_logs/model_stage_4_goal
2025-07-21 13:42:40,992 3055876 INFO
Completed stage 4. Intervention 'goal' removed from list.
2025-07-21 13:42:40,993 3055876 INFO Remaining interventions: 3
2025-07-21 13:42:40,993 3055876 INFO CURRICULUM STAGE 5/7
2025-07-21 13:42:40,993 3055876 INFO Remaining interventions: ['mass', 'friction', 'angle']
2025-07-21 13:42:40,993 3055876 INFO Randomly selected intervention: friction
2025-07-21 13:42:40,994 3055876 INFO === stage 5/7: training on friction intervention ===
Logging to random_sequencing_logs/sb3_csv_logs_5_friction
IntervenedCausalWorld created with friction intervention
Reset #1: friction intervention applied (success: True)
Reset #2: friction intervention applied (success: True)
Reset #3: friction intervention applied (success: True)
------------------------------------
| custom/              |           |
|    intervention_type | friction  |
|    stage             | 5         |
| rollout/             |           |
|    ep_len_mean       | 452       |
|    ep_rew_mean       | 0.9013826 |
| time/                |           |
|    fps               | 392       |
|    iterations        | 1         |
|    time_elapsed      | 10        |
|    total_timesteps   | 5263360   |
------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | friction    |
|    stage                | 5           |
| rollout/                |             |
|    ep_len_mean          | 444         |
|    ep_rew_mean          | 0.80144674  |
| time/                   |             |
|    fps                  | 222         |
|    iterations           | 2           |
|    time_elapsed         | 36          |
|    total_timesteps      | 5267456     |
| train/                  |             |
|    approx_kl            | 0.066367045 |
|    clip_fraction        | 0.598       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.1       |
|    explained_variance   | 0.581       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.691      |
|    n_updates            | 1950        |
|    policy_gradient_loss | -0.106      |
|    std                  | 6.2         |
|    value_loss           | 0.0234      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | friction   |
|    stage                | 5          |
| rollout/                |            |
|    ep_len_mean          | 440        |
|    ep_rew_mean          | 0.76763064 |
| time/                   |            |
|    fps                  | 194        |
|    iterations           | 3          |
|    time_elapsed         | 63         |
|    total_timesteps      | 5271552    |
| train/                  |            |
|    approx_kl            | 0.07217049 |
|    clip_fraction        | 0.571      |
|    clip_range           | 0.2        |
|    entropy_loss         | -29.2      |
|    explained_variance   | 0.571      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.695     |
|    n_updates            | 1965       |
|    policy_gradient_loss | -0.104     |
|    std                  | 6.26       |
|    value_loss           | 0.0284     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | friction   |
|    stage                | 5          |
| rollout/                |            |
|    ep_len_mean          | 442        |
|    ep_rew_mean          | 0.6508786  |
| time/                   |            |
|    fps                  | 182        |
|    iterations           | 4          |
|    time_elapsed         | 89         |
|    total_timesteps      | 5275648    |
| train/                  |            |
|    approx_kl            | 0.07024377 |
|    clip_fraction        | 0.586      |
|    clip_range           | 0.2        |
|    entropy_loss         | -29.3      |
|    explained_variance   | 0.783      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.712     |
|    n_updates            | 1980       |
|    policy_gradient_loss | -0.111     |
|    std                  | 6.34       |
|    value_loss           | 0.0183     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | friction    |
|    stage                | 5           |
| rollout/                |             |
|    ep_len_mean          | 444         |
|    ep_rew_mean          | 0.53099775  |
| time/                   |             |
|    fps                  | 176         |
|    iterations           | 5           |
|    time_elapsed         | 115         |
|    total_timesteps      | 5279744     |
| train/                  |             |
|    approx_kl            | 0.073799044 |
|    clip_fraction        | 0.569       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.4       |
|    explained_variance   | 0.358       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.691      |
|    n_updates            | 1995        |
|    policy_gradient_loss | -0.0956     |
|    std                  | 6.44        |
|    value_loss           | 0.0169      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | friction   |
|    stage                | 5          |
| rollout/                |            |
|    ep_len_mean          | 441        |
|    ep_rew_mean          | 0.33955997 |
| time/                   |            |
|    fps                  | 176        |
|    iterations           | 6          |
|    time_elapsed         | 138        |
|    total_timesteps      | 5283840    |
| train/                  |            |
|    approx_kl            | 0.0883026  |
|    clip_fraction        | 0.627      |
|    clip_range           | 0.2        |
|    entropy_loss         | -29.6      |
|    explained_variance   | 0.698      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.704     |
|    n_updates            | 2010       |
|    policy_gradient_loss | -0.111     |
|    std                  | 6.55       |
|    value_loss           | 0.027      |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | friction    |
|    stage                | 5           |
| rollout/                |             |
|    ep_len_mean          | 436         |
|    ep_rew_mean          | 0.4331018   |
| time/                   |             |
|    fps                  | 173         |
|    iterations           | 7           |
|    time_elapsed         | 165         |
|    total_timesteps      | 5287936     |
| train/                  |             |
|    approx_kl            | 0.074537806 |
|    clip_fraction        | 0.588       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.7       |
|    explained_variance   | 0.66        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.714      |
|    n_updates            | 2025        |
|    policy_gradient_loss | -0.108      |
|    std                  | 6.62        |
|    value_loss           | 0.0378      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | friction    |
|    stage                | 5           |
| rollout/                |             |
|    ep_len_mean          | 438         |
|    ep_rew_mean          | 0.40884468  |
| time/                   |             |
|    fps                  | 170         |
|    iterations           | 8           |
|    time_elapsed         | 191         |
|    total_timesteps      | 5292032     |
| train/                  |             |
|    approx_kl            | 0.078930356 |
|    clip_fraction        | 0.562       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.8       |
|    explained_variance   | 0.426       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.712      |
|    n_updates            | 2040        |
|    policy_gradient_loss | -0.101      |
|    std                  | 6.78        |
|    value_loss           | 0.0256      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | friction    |
|    stage                | 5           |
| rollout/                |             |
|    ep_len_mean          | 429         |
|    ep_rew_mean          | 0.3999261   |
| time/                   |             |
|    fps                  | 169         |
|    iterations           | 9           |
|    time_elapsed         | 217         |
|    total_timesteps      | 5296128     |
| train/                  |             |
|    approx_kl            | 0.070915215 |
|    clip_fraction        | 0.594       |
|    clip_range           | 0.2         |
|    entropy_loss         | -30         |
|    explained_variance   | 0.598       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.706      |
|    n_updates            | 2055        |
|    policy_gradient_loss | -0.103      |
|    std                  | 6.88        |
|    value_loss           | 0.0354      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | friction    |
|    stage                | 5           |
| rollout/                |             |
|    ep_len_mean          | 430         |
|    ep_rew_mean          | 0.44562083  |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 10          |
|    time_elapsed         | 243         |
|    total_timesteps      | 5300224     |
| train/                  |             |
|    approx_kl            | 0.071014255 |
|    clip_fraction        | 0.605       |
|    clip_range           | 0.2         |
|    entropy_loss         | -30.2       |
|    explained_variance   | 0.571       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.714      |
|    n_updates            | 2070        |
|    policy_gradient_loss | -0.11       |
|    std                  | 7.02        |
|    value_loss           | 0.0268      |
-----------------------------------------
---------------------------------------
| custom/                 |           |
|    intervention_type    | friction  |
|    stage                | 5         |
| rollout/                |           |
|    ep_len_mean          | 433       |
|    ep_rew_mean          | 0.3583945 |
| time/                   |           |
|    fps                  | 166       |
|    iterations           | 11        |
|    time_elapsed         | 269       |
|    total_timesteps      | 5304320   |
| train/                  |           |
|    approx_kl            | 0.0635335 |
|    clip_fraction        | 0.545     |
|    clip_range           | 0.2       |
|    entropy_loss         | -30.3     |
|    explained_variance   | 0.776     |
|    learning_rate        | 0.00025   |
|    loss                 | -0.719    |
|    n_updates            | 2085      |
|    policy_gradient_loss | -0.103    |
|    std                  | 7.11      |
|    value_loss           | 0.0209    |
---------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | friction    |
|    stage                | 5           |
| rollout/                |             |
|    ep_len_mean          | 437         |
|    ep_rew_mean          | 0.36388165  |
| time/                   |             |
|    fps                  | 165         |
|    iterations           | 12          |
|    time_elapsed         | 296         |
|    total_timesteps      | 5308416     |
| train/                  |             |
|    approx_kl            | 0.066195056 |
|    clip_fraction        | 0.59        |
|    clip_range           | 0.2         |
|    entropy_loss         | -30.4       |
|    explained_variance   | 0.666       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.721      |
|    n_updates            | 2100        |
|    policy_gradient_loss | -0.109      |
|    std                  | 7.21        |
|    value_loss           | 0.0253      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | friction    |
|    stage                | 5           |
| rollout/                |             |
|    ep_len_mean          | 433         |
|    ep_rew_mean          | 0.29527202  |
| time/                   |             |
|    fps                  | 165         |
|    iterations           | 13          |
|    time_elapsed         | 322         |
|    total_timesteps      | 5312512     |
| train/                  |             |
|    approx_kl            | 0.081040464 |
|    clip_fraction        | 0.617       |
|    clip_range           | 0.2         |
|    entropy_loss         | -30.6       |
|    explained_variance   | 0.777       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.719      |
|    n_updates            | 2115        |
|    policy_gradient_loss | -0.108      |
|    std                  | 7.36        |
|    value_loss           | 0.0309      |
-----------------------------------------
2025-07-21 13:48:18,357 3055876 INFO model saved to random_sequencing_logs/model_stage_5_friction
2025-07-21 13:48:18,359 3055876 INFO
Completed stage 5. Intervention 'friction' removed from list.
2025-07-21 13:48:18,359 3055876 INFO Remaining interventions: 2
2025-07-21 13:48:18,359 3055876 INFO CURRICULUM STAGE 6/7
2025-07-21 13:48:18,359 3055876 INFO Remaining interventions: ['mass', 'angle']
2025-07-21 13:48:18,360 3055876 INFO Randomly selected intervention: angle
2025-07-21 13:48:18,360 3055876 INFO === stage 6/7: training on angle intervention ===
Logging to random_sequencing_logs/sb3_csv_logs_6_angle
IntervenedCausalWorld created with angle intervention
Reset #1: angle intervention applied (success: True)
Reset #2: angle intervention applied (success: True)
Reset #3: angle intervention applied (success: True)
-------------------------------------
| custom/              |            |
|    intervention_type | angle      |
|    stage             | 6          |
| rollout/             |            |
|    ep_len_mean       | 441        |
|    ep_rew_mean       | 0.26372248 |
| time/                |            |
|    fps               | 361        |
|    iterations        | 1          |
|    time_elapsed      | 11         |
|    total_timesteps   | 5316608    |
-------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | angle       |
|    stage                | 6           |
| rollout/                |             |
|    ep_len_mean          | 432         |
|    ep_rew_mean          | 0.19769111  |
| time/                   |             |
|    fps                  | 216         |
|    iterations           | 2           |
|    time_elapsed         | 37          |
|    total_timesteps      | 5320704     |
| train/                  |             |
|    approx_kl            | 0.061780866 |
|    clip_fraction        | 0.549       |
|    clip_range           | 0.2         |
|    entropy_loss         | -31         |
|    explained_variance   | 0.643       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.72       |
|    n_updates            | 2145        |
|    policy_gradient_loss | -0.0936     |
|    std                  | 7.69        |
|    value_loss           | 0.0289      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | angle      |
|    stage                | 6          |
| rollout/                |            |
|    ep_len_mean          | 425        |
|    ep_rew_mean          | 0.11312605 |
| time/                   |            |
|    fps                  | 190        |
|    iterations           | 3          |
|    time_elapsed         | 64         |
|    total_timesteps      | 5324800    |
| train/                  |            |
|    approx_kl            | 0.07225025 |
|    clip_fraction        | 0.59       |
|    clip_range           | 0.2        |
|    entropy_loss         | -31.2      |
|    explained_variance   | 0.624      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.733     |
|    n_updates            | 2160       |
|    policy_gradient_loss | -0.0994    |
|    std                  | 7.88       |
|    value_loss           | 0.0307     |
----------------------------------------
-------------------------------------------
| custom/                 |               |
|    intervention_type    | angle         |
|    stage                | 6             |
| rollout/                |               |
|    ep_len_mean          | 423           |
|    ep_rew_mean          | -0.0015195442 |
| time/                   |               |
|    fps                  | 180           |
|    iterations           | 4             |
|    time_elapsed         | 90            |
|    total_timesteps      | 5328896       |
| train/                  |               |
|    approx_kl            | 0.07317149    |
|    clip_fraction        | 0.596         |
|    clip_range           | 0.2           |
|    entropy_loss         | -31.4         |
|    explained_variance   | 0.488         |
|    learning_rate        | 0.00025       |
|    loss                 | -0.736        |
|    n_updates            | 2175          |
|    policy_gradient_loss | -0.105        |
|    std                  | 8.02          |
|    value_loss           | 0.032         |
-------------------------------------------
------------------------------------------
| custom/                 |              |
|    intervention_type    | angle        |
|    stage                | 6            |
| rollout/                |              |
|    ep_len_mean          | 411          |
|    ep_rew_mean          | -0.101046994 |
| time/                   |              |
|    fps                  | 174          |
|    iterations           | 5            |
|    time_elapsed         | 117          |
|    total_timesteps      | 5332992      |
| train/                  |              |
|    approx_kl            | 0.06312142   |
|    clip_fraction        | 0.548        |
|    clip_range           | 0.2          |
|    entropy_loss         | -31.5        |
|    explained_variance   | 0.473        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.733       |
|    n_updates            | 2190         |
|    policy_gradient_loss | -0.0957      |
|    std                  | 8.12         |
|    value_loss           | 0.0423       |
------------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | angle       |
|    stage                | 6           |
| rollout/                |             |
|    ep_len_mean          | 418         |
|    ep_rew_mean          | -0.24821559 |
| time/                   |             |
|    fps                  | 171         |
|    iterations           | 6           |
|    time_elapsed         | 143         |
|    total_timesteps      | 5337088     |
| train/                  |             |
|    approx_kl            | 0.07402429  |
|    clip_fraction        | 0.601       |
|    clip_range           | 0.2         |
|    entropy_loss         | -31.7       |
|    explained_variance   | 0.513       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.735      |
|    n_updates            | 2205        |
|    policy_gradient_loss | -0.102      |
|    std                  | 8.4         |
|    value_loss           | 0.0326      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | angle       |
|    stage                | 6           |
| rollout/                |             |
|    ep_len_mean          | 408         |
|    ep_rew_mean          | -0.40798104 |
| time/                   |             |
|    fps                  | 173         |
|    iterations           | 7           |
|    time_elapsed         | 165         |
|    total_timesteps      | 5341184     |
| train/                  |             |
|    approx_kl            | 0.07568906  |
|    clip_fraction        | 0.626       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32         |
|    explained_variance   | 0.596       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.755      |
|    n_updates            | 2220        |
|    policy_gradient_loss | -0.111      |
|    std                  | 8.58        |
|    value_loss           | 0.0343      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | angle       |
|    stage                | 6           |
| rollout/                |             |
|    ep_len_mean          | 402         |
|    ep_rew_mean          | -0.56752867 |
| time/                   |             |
|    fps                  | 170         |
|    iterations           | 8           |
|    time_elapsed         | 192         |
|    total_timesteps      | 5345280     |
| train/                  |             |
|    approx_kl            | 0.08621901  |
