Logging to autocalc_pushing/autocalc_curriculum_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7f38c16935d0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7f38bc741f10>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
-----------------------------------
| rollout/           |            |
|    policy_gradient_loss | -0.027      |
|    std                  | 19          |
|    value_loss           | 0.0638      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3692018   |
| time/                   |             |
|    fps                  | 862         |
|    iterations           | 376         |
|    time_elapsed         | 1785        |
|    total_timesteps      | 1540096     |
| train/                  |             |
|    approx_kl            | 0.010246124 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.2       |
|    explained_variance   | 0.681       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.764      |
|    n_updates            | 6780        |
|    policy_gradient_loss | -0.021      |
|    std                  | 19.1        |
|    value_loss           | 0.165       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4923702   |
| time/                   |             |
|    fps                  | 861         |
|    iterations           | 377         |
|    time_elapsed         | 1791        |
|    total_timesteps      | 1544192     |
| train/                  |             |
|    approx_kl            | 0.011771761 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.3       |
|    explained_variance   | 0.681       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.774      |
|    n_updates            | 6795        |
|    policy_gradient_loss | -0.0167     |
|    std                  | 19.2        |
|    value_loss           | 0.121       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.5140281  |
| time/                   |            |
|    fps                  | 861        |
|    iterations           | 378        |
|    time_elapsed         | 1797       |
|    total_timesteps      | 1548288    |
| train/                  |            |
|    approx_kl            | 0.01086855 |
|    clip_fraction        | 0.146      |
|    clip_range           | 0.2        |
|    entropy_loss         | -39.3      |
|    explained_variance   | 0.782      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.782     |
|    n_updates            | 6810       |
|    policy_gradient_loss | -0.0205    |
|    std                  | 19.3       |
|    value_loss           | 0.092      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.6190132    |
| time/                   |              |
|    fps                  | 861          |
|    iterations           | 379          |
|    time_elapsed         | 1802         |
|    total_timesteps      | 1552384      |
| train/                  |              |
|    approx_kl            | 0.0077618225 |
|    clip_fraction        | 0.0921       |
|    clip_range           | 0.2          |
|    entropy_loss         | -39.3        |
|    explained_variance   | 0.719        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.743       |
|    n_updates            | 6825         |
|    policy_gradient_loss | -0.0216      |
|    std                  | 19.3         |
|    value_loss           | 0.11         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6827672   |
| time/                   |             |
|    fps                  | 860         |
|    iterations           | 380         |
|    time_elapsed         | 1808        |
|    total_timesteps      | 1556480     |
| train/                  |             |
|    approx_kl            | 0.013588419 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.4       |
|    explained_variance   | 0.729       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.746      |
|    n_updates            | 6840        |
|    policy_gradient_loss | -0.019      |
|    std                  | 19.5        |
|    value_loss           | 0.133       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.9012336   |
| time/                   |             |
|    fps                  | 859         |
|    iterations           | 381         |
|    time_elapsed         | 1814        |
|    total_timesteps      | 1560576     |
| train/                  |             |
|    approx_kl            | 0.008899677 |
|    clip_fraction        | 0.0987      |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.4       |
|    explained_variance   | 0.73        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.761      |
|    n_updates            | 6855        |
|    policy_gradient_loss | -0.0178     |
|    std                  | 19.5        |
|    value_loss           | 0.107       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.8157828   |
| time/                   |             |
|    fps                  | 859         |
|    iterations           | 382         |
|    time_elapsed         | 1819        |
|    total_timesteps      | 1564672     |
| train/                  |             |
|    approx_kl            | 0.011663476 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.4       |
|    explained_variance   | 0.619       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.761      |
|    n_updates            | 6870        |
|    policy_gradient_loss | -0.0209     |
|    std                  | 19.6        |
|    value_loss           | 0.125       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.8285866    |
| time/                   |              |
|    fps                  | 859          |
|    iterations           | 383          |
|    time_elapsed         | 1825         |
|    total_timesteps      | 1568768      |
| train/                  |              |
|    approx_kl            | 0.0095820045 |
|    clip_fraction        | 0.116        |
|    clip_range           | 0.2          |
|    entropy_loss         | -39.5        |
|    explained_variance   | 0.688        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.741       |
|    n_updates            | 6885         |
|    policy_gradient_loss | -0.0208      |
|    std                  | 19.7         |
|    value_loss           | 0.126        |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.8756202  |
| time/                   |            |
|    fps                  | 858        |
|    iterations           | 384        |
|    time_elapsed         | 1831       |
|    total_timesteps      | 1572864    |
| train/                  |            |
|    approx_kl            | 0.01126915 |
|    clip_fraction        | 0.113      |
|    clip_range           | 0.2        |
|    entropy_loss         | -39.6      |
|    explained_variance   | 0.74       |
|    learning_rate        | 0.00025    |
|    loss                 | -0.802     |
|    n_updates            | 6900       |
|    policy_gradient_loss | -0.0197    |
|    std                  | 19.9       |
|    value_loss           | 0.0853     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6273252   |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 385         |
|    time_elapsed         | 1836        |
|    total_timesteps      | 1576960     |
| train/                  |             |
|    approx_kl            | 0.010088442 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.6       |
|    explained_variance   | 0.667       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.799      |
|    n_updates            | 6915        |
|    policy_gradient_loss | -0.0224     |
|    std                  | 20          |
|    value_loss           | 0.0926      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5702353   |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 386         |
|    time_elapsed         | 1841        |
|    total_timesteps      | 1581056     |
| train/                  |             |
|    approx_kl            | 0.012728466 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.6       |
|    explained_variance   | 0.653       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.775      |
|    n_updates            | 6930        |
|    policy_gradient_loss | -0.0143     |
|    std                  | 20.1        |
|    value_loss           | 0.131       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3829862   |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 387         |
|    time_elapsed         | 1846        |
|    total_timesteps      | 1585152     |
| train/                  |             |
|    approx_kl            | 0.010124535 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.7       |
|    explained_variance   | 0.703       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.764      |
|    n_updates            | 6945        |
|    policy_gradient_loss | -0.0195     |
|    std                  | 20.2        |
|    value_loss           | 0.107       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5115962   |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 388         |
|    time_elapsed         | 1851        |
|    total_timesteps      | 1589248     |
| train/                  |             |
|    approx_kl            | 0.009544004 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.7       |
|    explained_variance   | 0.685       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.778      |
|    n_updates            | 6960        |
|    policy_gradient_loss | -0.0204     |
|    std                  | 20.2        |
|    value_loss           | 0.116       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.4922568  |
| time/                   |            |
|    fps                  | 858        |
|    iterations           | 389        |
|    time_elapsed         | 1856       |
|    total_timesteps      | 1593344    |
| train/                  |            |
|    approx_kl            | 0.01285273 |
|    clip_fraction        | 0.115      |
|    clip_range           | 0.2        |
|    entropy_loss         | -39.8      |
|    explained_variance   | 0.655      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.756     |
|    n_updates            | 6975       |
|    policy_gradient_loss | -0.0161    |
|    std                  | 20.4       |
|    value_loss           | 0.199      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.3189042  |
| time/                   |            |
|    fps                  | 857        |
|    iterations           | 390        |
|    time_elapsed         | 1862       |
|    total_timesteps      | 1597440    |
| train/                  |            |
|    approx_kl            | 0.01338934 |
|    clip_fraction        | 0.131      |
|    clip_range           | 0.2        |
|    entropy_loss         | -39.8      |
|    explained_variance   | 0.606      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.733     |
|    n_updates            | 6990       |
|    policy_gradient_loss | -0.0194    |
|    std                  | 20.5       |
|    value_loss           | 0.194      |
----------------------------------------
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/evaluation.py:69: UserWarning: Evaluation environment is not wrapped with a ``Monitor`` wrapper. This may result in reporting modified episode lengths and rewards, if other wrappers happen to modify these. Consider wrapping environment first with ``Monitor`` wrapper.
  UserWarning,
Eval num_timesteps=1600000, episode_reward=2.48 +/- 0.00
Episode length: 251.00 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 251         |
|    mean_reward          | 2.48        |
| time/                   |             |
|    total_timesteps      | 1600000     |
| train/                  |             |
|    approx_kl            | 0.010268604 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.9       |
|    explained_variance   | 0.723       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.778      |
|    n_updates            | 7005        |
|    policy_gradient_loss | -0.0202     |
|    std                  | 20.6        |
|    value_loss           | 0.124       |
-----------------------------------------
New best mean reward!
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 251       |
|    ep_rew_mean     | 1.4613273 |
| time/              |           |
|    fps             | 854       |
|    iterations      | 391       |
|    time_elapsed    | 1873      |
|    total_timesteps | 1601536   |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4511954   |
| time/                   |             |
|    fps                  | 854         |
|    iterations           | 392         |
|    time_elapsed         | 1879        |
|    total_timesteps      | 1605632     |
| train/                  |             |
|    approx_kl            | 0.009303406 |
|    clip_fraction        | 0.0961      |
|    clip_range           | 0.2         |
|    entropy_loss         | -39.9       |
|    explained_variance   | 0.745       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.788      |
|    n_updates            | 7020        |
|    policy_gradient_loss | -0.0167     |
|    std                  | 20.7        |
|    value_loss           | 0.117       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4922644   |
| time/                   |             |
|    fps                  | 853         |
|    iterations           | 393         |
|    time_elapsed         | 1885        |
|    total_timesteps      | 1609728     |
| train/                  |             |
|    approx_kl            | 0.012176375 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40         |
|    explained_variance   | 0.748       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.795      |
|    n_updates            | 7035        |
|    policy_gradient_loss | -0.0199     |
|    std                  | 20.8        |
|    value_loss           | 0.0999      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3988485   |
| time/                   |             |
|    fps                  | 853         |
|    iterations           | 394         |
|    time_elapsed         | 1890        |
|    total_timesteps      | 1613824     |
| train/                  |             |
|    approx_kl            | 0.011094893 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40         |
|    explained_variance   | 0.722       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.796      |
|    n_updates            | 7050        |
|    policy_gradient_loss | -0.0217     |
|    std                  | 21          |
|    value_loss           | 0.104       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.4389719    |
| time/                   |              |
|    fps                  | 853          |
|    iterations           | 395          |
|    time_elapsed         | 1895         |
|    total_timesteps      | 1617920      |
| train/                  |              |
|    approx_kl            | 0.0112173855 |
|    clip_fraction        | 0.121        |
|    clip_range           | 0.2          |
|    entropy_loss         | -40.1        |
|    explained_variance   | 0.692        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.785       |
|    n_updates            | 7065         |
|    policy_gradient_loss | -0.0189      |
|    std                  | 21           |
|    value_loss           | 0.0996       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5113876   |
| time/                   |             |
|    fps                  | 853         |
|    iterations           | 396         |
|    time_elapsed         | 1901        |
|    total_timesteps      | 1622016     |
| train/                  |             |
|    approx_kl            | 0.008383817 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.1       |
|    explained_variance   | 0.708       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.773      |
|    n_updates            | 7080        |
|    policy_gradient_loss | -0.0179     |
|    std                  | 21.1        |
|    value_loss           | 0.155       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3983066   |
| time/                   |             |
|    fps                  | 853         |
|    iterations           | 397         |
|    time_elapsed         | 1905        |
|    total_timesteps      | 1626112     |
| train/                  |             |
|    approx_kl            | 0.011665439 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.1       |
|    explained_variance   | 0.734       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.785      |
|    n_updates            | 7095        |
|    policy_gradient_loss | -0.0189     |
|    std                  | 21.2        |
|    value_loss           | 0.136       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5027838   |
| time/                   |             |
|    fps                  | 852         |
|    iterations           | 398         |
|    time_elapsed         | 1911        |
|    total_timesteps      | 1630208     |
| train/                  |             |
|    approx_kl            | 0.009125887 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.2       |
|    explained_variance   | 0.735       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.786      |
|    n_updates            | 7110        |
|    policy_gradient_loss | -0.0192     |
|    std                  | 21.3        |
|    value_loss           | 0.13        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3430667   |
| time/                   |             |
|    fps                  | 852         |
|    iterations           | 399         |
|    time_elapsed         | 1916        |
|    total_timesteps      | 1634304     |
| train/                  |             |
|    approx_kl            | 0.010233957 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.2       |
|    explained_variance   | 0.692       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.796      |
|    n_updates            | 7125        |
|    policy_gradient_loss | -0.0233     |
|    std                  | 21.4        |
|    value_loss           | 0.13        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3173239   |
| time/                   |             |
|    fps                  | 852         |
|    iterations           | 400         |
|    time_elapsed         | 1921        |
|    total_timesteps      | 1638400     |
| train/                  |             |
|    approx_kl            | 0.013163113 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.3       |
|    explained_variance   | 0.678       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.781      |
|    n_updates            | 7140        |
|    policy_gradient_loss | -0.0202     |
|    std                  | 21.6        |
|    value_loss           | 0.188       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.1374592  |
| time/                   |            |
|    fps                  | 852        |
|    iterations           | 401        |
|    time_elapsed         | 1926       |
|    total_timesteps      | 1642496    |
| train/                  |            |
|    approx_kl            | 0.00876656 |
|    clip_fraction        | 0.118      |
|    clip_range           | 0.2        |
|    entropy_loss         | -40.3      |
|    explained_variance   | 0.607      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.793     |
|    n_updates            | 7155       |
|    policy_gradient_loss | -0.0233    |
|    std                  | 21.6       |
|    value_loss           | 0.114      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2066159   |
| time/                   |             |
|    fps                  | 852         |
|    iterations           | 402         |
|    time_elapsed         | 1931        |
|    total_timesteps      | 1646592     |
| train/                  |             |
|    approx_kl            | 0.011872539 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.3       |
|    explained_variance   | 0.847       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.783      |
|    n_updates            | 7170        |
|    policy_gradient_loss | -0.0196     |
|    std                  | 21.7        |
|    value_loss           | 0.103       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.1566552  |
| time/                   |            |
|    fps                  | 852        |
|    iterations           | 403        |
|    time_elapsed         | 1936       |
|    total_timesteps      | 1650688    |
| train/                  |            |
|    approx_kl            | 0.00905136 |
|    clip_fraction        | 0.0806     |
|    clip_range           | 0.2        |
|    entropy_loss         | -40.4      |
|    explained_variance   | 0.714      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.757     |
|    n_updates            | 7185       |
|    policy_gradient_loss | -0.0139    |
|    std                  | 21.7       |
|    value_loss           | 0.183      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.2779106    |
| time/                   |              |
|    fps                  | 851          |
|    iterations           | 404          |
|    time_elapsed         | 1942         |
|    total_timesteps      | 1654784      |
| train/                  |              |
|    approx_kl            | 0.0156226745 |
|    clip_fraction        | 0.132        |
|    clip_range           | 0.2          |
|    entropy_loss         | -40.4        |
|    explained_variance   | 0.743        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.78        |
|    n_updates            | 7200         |
|    policy_gradient_loss | -0.019       |
|    std                  | 21.9         |
|    value_loss           | 0.11         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2449007   |
| time/                   |             |
|    fps                  | 852         |
|    iterations           | 405         |
|    time_elapsed         | 1946        |
|    total_timesteps      | 1658880     |
| train/                  |             |
|    approx_kl            | 0.011058682 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.5       |
|    explained_variance   | 0.724       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.799      |
|    n_updates            | 7215        |
|    policy_gradient_loss | -0.0212     |
|    std                  | 22          |
|    value_loss           | 0.115       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3988837   |
| time/                   |             |
|    fps                  | 851         |
|    iterations           | 406         |
|    time_elapsed         | 1952        |
|    total_timesteps      | 1662976     |
| train/                  |             |
|    approx_kl            | 0.012683188 |
|    clip_fraction        | 0.0941      |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.5       |
|    explained_variance   | 0.72        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.743      |
|    n_updates            | 7230        |
|    policy_gradient_loss | -0.0143     |
|    std                  | 22.1        |
|    value_loss           | 0.166       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4344214   |
| time/                   |             |
|    fps                  | 851         |
|    iterations           | 407         |
|    time_elapsed         | 1956        |
|    total_timesteps      | 1667072     |
| train/                  |             |
|    approx_kl            | 0.009838858 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.5       |
|    explained_variance   | 0.761       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.804      |
|    n_updates            | 7245        |
|    policy_gradient_loss | -0.0155     |
|    std                  | 22.3        |
|    value_loss           | 0.129       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.4734874  |
| time/                   |            |
|    fps                  | 851        |
|    iterations           | 408        |
|    time_elapsed         | 1961       |
|    total_timesteps      | 1671168    |
| train/                  |            |
|    approx_kl            | 0.01219467 |
|    clip_fraction        | 0.117      |
|    clip_range           | 0.2        |
|    entropy_loss         | -40.6      |
|    explained_variance   | 0.717      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.799     |
|    n_updates            | 7260       |
|    policy_gradient_loss | -0.019     |
|    std                  | 22.4       |
|    value_loss           | 0.0962     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5255806   |
| time/                   |             |
|    fps                  | 851         |
|    iterations           | 409         |
|    time_elapsed         | 1967        |
|    total_timesteps      | 1675264     |
| train/                  |             |
|    approx_kl            | 0.011144333 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.7       |
|    explained_variance   | 0.709       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.793      |
|    n_updates            | 7275        |
|    policy_gradient_loss | -0.0243     |
|    std                  | 22.6        |
|    value_loss           | 0.12        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.438401    |
| time/                   |             |
|    fps                  | 851         |
|    iterations           | 410         |
|    time_elapsed         | 1971        |
|    total_timesteps      | 1679360     |
| train/                  |             |
|    approx_kl            | 0.010139873 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.7       |
|    explained_variance   | 0.695       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.806      |
|    n_updates            | 7290        |
|    policy_gradient_loss | -0.0178     |
|    std                  | 22.7        |
|    value_loss           | 0.127       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3726443   |
| time/                   |             |
|    fps                  | 851         |
|    iterations           | 411         |
|    time_elapsed         | 1977        |
|    total_timesteps      | 1683456     |
| train/                  |             |
|    approx_kl            | 0.012183985 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.8       |
|    explained_variance   | 0.698       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.816      |
|    n_updates            | 7305        |
|    policy_gradient_loss | -0.0171     |
|    std                  | 22.9        |
|    value_loss           | 0.1         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3588864   |
| time/                   |             |
|    fps                  | 851         |
|    iterations           | 412         |
|    time_elapsed         | 1982        |
|    total_timesteps      | 1687552     |
| train/                  |             |
|    approx_kl            | 0.014108705 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.9       |
|    explained_variance   | 0.694       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.784      |
|    n_updates            | 7320        |
|    policy_gradient_loss | -0.0196     |
|    std                  | 23          |
|    value_loss           | 0.173       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6243106   |
| time/                   |             |
|    fps                  | 851         |
|    iterations           | 413         |
|    time_elapsed         | 1986        |
|    total_timesteps      | 1691648     |
| train/                  |             |
|    approx_kl            | 0.014630271 |
|    clip_fraction        | 0.0961      |
|    clip_range           | 0.2         |
|    entropy_loss         | -40.9       |
|    explained_variance   | 0.786       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.79       |
|    n_updates            | 7335        |
|    policy_gradient_loss | -0.0209     |
|    std                  | 23.1        |
|    value_loss           | 0.172       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5299529   |
| time/                   |             |
|    fps                  | 851         |
|    iterations           | 414         |
|    time_elapsed         | 1992        |
|    total_timesteps      | 1695744     |
| train/                  |             |
|    approx_kl            | 0.010571614 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -41         |
|    explained_variance   | 0.801       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.803      |
|    n_updates            | 7350        |
|    policy_gradient_loss | -0.0203     |
|    std                  | 23.2        |
|    value_loss           | 0.144       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.4298004  |
| time/                   |            |
|    fps                  | 850        |
|    iterations           | 415        |
|    time_elapsed         | 1997       |
|    total_timesteps      | 1699840    |
| train/                  |            |
|    approx_kl            | 0.01178728 |
|    clip_fraction        | 0.121      |
|    clip_range           | 0.2        |
|    entropy_loss         | -41        |
|    explained_variance   | 0.743      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.824     |
|    n_updates            | 7365       |
|    policy_gradient_loss | -0.0235    |
|    std                  | 23.3       |
|    value_loss           | 0.106      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3887794   |
| time/                   |             |
|    fps                  | 850         |
|    iterations           | 416         |
|    time_elapsed         | 2002        |
|    total_timesteps      | 1703936     |
| train/                  |             |
|    approx_kl            | 0.011583612 |
|    clip_fraction        | 0.0969      |
|    clip_range           | 0.2         |
|    entropy_loss         | -41         |
|    explained_variance   | 0.728       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.783      |
|    n_updates            | 7380        |
|    policy_gradient_loss | -0.0144     |
|    std                  | 23.5        |
|    value_loss           | 0.162       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4071828   |
| time/                   |             |
|    fps                  | 850         |
|    iterations           | 417         |
|    time_elapsed         | 2007        |
|    total_timesteps      | 1708032     |
| train/                  |             |
|    approx_kl            | 0.008981459 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -41.1       |
|    explained_variance   | 0.707       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.814      |
|    n_updates            | 7395        |
|    policy_gradient_loss | -0.0203     |
|    std                  | 23.6        |
|    value_loss           | 0.0953      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.452498     |
| time/                   |              |
|    fps                  | 850          |
|    iterations           | 418          |
|    time_elapsed         | 2013         |
|    total_timesteps      | 1712128      |
| train/                  |              |
|    approx_kl            | 0.0093001705 |
