Logging to autocalc_pushing/autocalc_curriculum_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7f38c16935d0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7f38bc741f10>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
-----------------------------------
| rollout/           |            |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.6       |
|    explained_variance   | 0.765       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.489      |
|    n_updates            | 1800        |
|    policy_gradient_loss | -0.0372     |
|    std                  | 3.33        |
|    value_loss           | 0.0873      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.97182035  |
| time/                   |             |
|    fps                  | 1208        |
|    iterations           | 45          |
|    time_elapsed         | 152         |
|    total_timesteps      | 184320      |
| train/                  |             |
|    approx_kl            | 0.017068168 |
|    clip_fraction        | 0.22        |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.6       |
|    explained_variance   | 0.607       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.484      |
|    n_updates            | 1815        |
|    policy_gradient_loss | -0.0341     |
|    std                  | 3.36        |
|    value_loss           | 0.107       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1305399   |
| time/                   |             |
|    fps                  | 1204        |
|    iterations           | 46          |
|    time_elapsed         | 156         |
|    total_timesteps      | 188416      |
| train/                  |             |
|    approx_kl            | 0.016958421 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.7       |
|    explained_variance   | 0.658       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.486      |
|    n_updates            | 1830        |
|    policy_gradient_loss | -0.0331     |
|    std                  | 3.38        |
|    value_loss           | 0.107       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1928399   |
| time/                   |             |
|    fps                  | 1203        |
|    iterations           | 47          |
|    time_elapsed         | 159         |
|    total_timesteps      | 192512      |
| train/                  |             |
|    approx_kl            | 0.014202407 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.7       |
|    explained_variance   | 0.819       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.476      |
|    n_updates            | 1845        |
|    policy_gradient_loss | -0.0327     |
|    std                  | 3.39        |
|    value_loss           | 0.0856      |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 251       |
|    ep_rew_mean          | 1.1433355 |
| time/                   |           |
|    fps                  | 1202      |
|    iterations           | 48        |
|    time_elapsed         | 163       |
|    total_timesteps      | 196608    |
| train/                  |           |
|    approx_kl            | 0.0160141 |
|    clip_fraction        | 0.204     |
|    clip_range           | 0.2       |
|    entropy_loss         | -23.8     |
|    explained_variance   | 0.739     |
|    learning_rate        | 0.00025   |
|    loss                 | -0.478    |
|    n_updates            | 1860      |
|    policy_gradient_loss | -0.0354   |
|    std                  | 3.41      |
|    value_loss           | 0.0949    |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.0877333  |
| time/                   |            |
|    fps                  | 1204       |
|    iterations           | 49         |
|    time_elapsed         | 166        |
|    total_timesteps      | 200704     |
| train/                  |            |
|    approx_kl            | 0.01426198 |
|    clip_fraction        | 0.174      |
|    clip_range           | 0.2        |
|    entropy_loss         | -23.8      |
|    explained_variance   | 0.674      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.469     |
|    n_updates            | 1875       |
|    policy_gradient_loss | -0.031     |
|    std                  | 3.43       |
|    value_loss           | 0.0966     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2666099   |
| time/                   |             |
|    fps                  | 1203        |
|    iterations           | 50          |
|    time_elapsed         | 170         |
|    total_timesteps      | 204800      |
| train/                  |             |
|    approx_kl            | 0.010665098 |
|    clip_fraction        | 0.114       |
